Round,Player A,Player B,Winner,Participant A score,Participant B score
R64,M. Berrettini,A. Zverev [4],A. Zverev [4],3 4,6 6
R64,B. Shelton [8],R. Opelka,B. Shelton [8],6 7 6,7 6 3
R64,A. Walton,L. Tien [25],L. Tien [25],6 6,7 7
R64,A. Davidovich Fokina [18],Z. Svajda [WC],A. Davidovich Fokina [18],7 6,6 2
R64,M. Giron,J. Mensik [12],J. Mensik [12],5 6,7 7
R64,K. Khachanov [16],J. Fonseca,J. Fonseca,6 6 4,4 7 6
R64,Z. Bergs,T. Paul [23],T. Paul [23],1 2,6 6
R64,T. Etcheverry [29],D. Shapovalov,D. Shapovalov,3 6 6,6 2 7
R64,D. Svrcina [Q],J. Sinner [2],J. Sinner [2],1 1,6 6
R32,C. Alcaraz [1],A. Rinderknech [26],C. Alcaraz [1],6 6 6,7 3 2
R32,V. Vacherot [24],C. Ruud [13],C. Ruud [13],6 3 4,3 6 6
R32,A. Bublik [10],R. Hijikata [Q],R. Hijikata [Q],7 6 3,6 7 6
R32,C. Norrie [27],A. de Minaur [6],C. Norrie [27],6 6,4 4
R32,N. Djokovic [3],A. Kovacevic,N. Djokovic [3],6 1 6,4 6 4
R32,F. Cerundolo [19],J. Draper [14],J. Draper [14],1 5,6 7
R32,D. Medvedev [11],S. Baez,D. Medvedev [11],6 6,4 0
R32,A. Michelsen,T. Fritz [7],A. Michelsen,6 7,4 6
R32,M. Fucsovics,A. Fils [30],A. Fils [30],3 5,6 7
R32,G. Diallo,F. Auger-Aliassime [9],F. Auger-Aliassime [9],7 3 3,6 6 6
R32,F. Cobolli [15],F. Tiafoe [21],F. Tiafoe [21],1 2,6 6
R32,B. Nakashima [28],A. Zverev [4],A. Zverev [4],6 7 4,7 5 6
R32,B. Shelton [8],L. Tien [25],L. Tien [25],6 6 3,7 4 6
R32,A. Davidovich Fokina [18],J. Mensik [12],A. Davidovich Fokina [18],6 4 6,2 6 2
R32,J. Fonseca,T. Paul [23],J. Fonseca,6 6,2 3
R32,D. Shapovalov,J. Sinner [2],J. Sinner [2],3 2,6 6
R16,C. Alcaraz [1],C. Ruud [13],C. Alcaraz [1],6 7,1 6
R16,R. Hijikata [Q],C. Norrie [27],C. Norrie [27],4 2,6 6
R16,N. Djokovic [3],J. Draper [14],J. Draper [14],6 4 6,4 6 7
R16,D. Medvedev [11],A. Michelsen,D. Medvedev [11],6 6,2 4
R16,A. Fils [30],F. Auger-Aliassime [9],A. Fils [30],6 7,3 6
R16,F. Tiafoe [21],A. Zverev [4],A. Zverev [4],3 4,6 6
R16,L. Tien [25],A. Davidovich Fokina [18],L. Tien [25],4 6 7,6 1 6
R16,J. Fonseca,J. Sinner [2],J. Sinner [2],6 6,7 7
QF,C. Alcaraz [1],C. Norrie [27],C. Alcaraz [1],6 6,3 4
QF,J. Draper [14],D. Medvedev [11],D. Medvedev [11],1 5,6 7
QF,A. Fils [30],A. Zverev [4],A. Zverev [4],2 3,6 6
QF,L. Tien [25],J. Sinner [2],J. Sinner [2],1 2,6 6
SF,C. Alcaraz [1],D. Medvedev [11],D. Medvedev [11],3 6,6 7
SF,A. Zverev [4],J. Sinner [2],J. Sinner [2],2 4,6 6
F,D. Medvedev [11],J. Sinner [2],J. Sinner [2],6 6,7 7
